Unit,Region,Station,Addr,Lat,Lon
"臺灣高等法院","臺北市","臺灣高等法院刑事庭大廈","100臺北市中正區博愛路127號","25.03824","121.5113"
"法務部","臺北市","臺灣高等法院檢察署為民服務中心","100臺北市中正區博愛路127號","25.041953","121.513059"
"臺灣高等法院","臺北市","臺灣臺北地方法院2樓民眾休息區","100臺北市中正區博愛路131號","25.036986","121.511106"
"法務部","臺北市","臺灣臺北地方法院檢察署1F民眾等候區","100臺北市中正區博愛路131號","25.036729","121.511059"
"交通部","臺北市","國史館郵局","100臺北市中正區博愛路168號之1","25.039177","121.51098"
"財政部","臺北市","臺灣土地銀行臺北分行","100臺北市中正區博愛路72號","25.044783","121.511316"
"財政部","臺北市","華南商業銀行城內分行","100臺北市中正區博愛路93號","25.04309","121.509647"
"行政院農業委員會","臺北市","行政院農業委員會林務局農林航空測量所","100臺北市中正區和平西路2段100號1樓","25.029948","121.509722"
"行政院農業委員會","臺北市","漁業署和平大樓4樓會議室","100臺北市中正區和平西路二段100號4樓","25.030153","121.509427"
"行政院農業委員會","臺北市","漁業署和平大樓6樓圖書室","100臺北市中正區和平西路二段100號6樓","25.030153","121.509427"
"行政院農業委員會","臺北市","漁業署和平大樓7樓會議室","100臺北市中正區和平西路二段100號7樓","25.030153","121.509427"
"行政院農業委員會","臺北市","漁業署和平大樓8樓會議室","100臺北市中正區和平西路二段100號8樓","25.030153","121.509427"
"交通部","臺北市","台北龍口郵局","100臺北市中正區和平西路二段68號","25.029124","121.511537"
"行政院","臺北市","行政院發言人辦公室接待中心","100臺北市中正區天津街2號","25.046469","121.5218"
"經濟部","臺北市","經濟部國營事業委員會1樓大廳","100臺北市中正區寶慶路25號","25.041418","121.510962"
"經濟部","臺北市","經濟部國營事業委員會4樓","100臺北市中正區寶慶路25號4F","25.041438","121.511064"
"經濟部","臺北市","經濟部國營事業委員會5樓","100臺北市中正區寶慶路25號5F","25.041438","121.511064"
"經濟部","臺北市","經濟部國營事業委員會6樓","100臺北市中正區寶慶路25號6F","25.041438","121.511064"
"經濟部","臺北市","經濟部國營事業委員會7樓","100臺北市中正區寶慶路25號7F","25.041438","121.511064"
"國家發展委員會","臺北市","國家發展委員會寶慶辦公區","100臺北市中正區寶慶路3號","25.041179","121.513385"
"交通部","臺北市","台北螢橋郵局","100臺北市中正區廈門街76號","25.0246","121.517365"
"內政部","臺北市","內政部移民署臺北市服務站","100臺北市中正區廣州街15號1樓及地下1樓","25.035965","121.508918"
"內政部","臺北市","內政部警政署警察廣播電臺服務中心","100臺北市中正區廣州街17號","25.0358843","121.5076351"
"交通部","臺北市","台北南門郵局","100臺北市中正區廣州街2號","25.034924","121.510324"
"行政院主計總處","臺北市","行政院主計總處(廣博大樓)","100臺北市中正區廣州街2號","25.03501","121.510342"
"國家通訊傳播委員會","臺北市","國家通訊傳播委員會北區監理處服務中心","100臺北市中正區延平南路143號2樓","25.036358","121.508097"
"教育部","臺北市","國家圖書館藝術暨視聽資料中心","100臺北市中正區延平南路156號","25.038755","121.508403"
"內政部","臺北市","役政署北部辦公室","100臺北市中正區延平南路45號1樓","25.04502","121.510472"
"內政部","臺北市","內政部8樓會議室","100臺北市中正區徐州路5號","25.04239","121.519473"
"教育部","臺北市","教育部青年發展署","100臺北市中正區徐州路5號14樓","25.042004","121.519421"
"中央選舉委員會","臺北市","中央聯合辦公大樓南棟","100臺北市中正區徐州路5號1樓","25.04221","121.51947"
"僑務委員會","臺北市","僑務委員會中央聯合辦公大樓南棟","100臺北市中正區徐州路5號3樓","25.04221","121.51947"
"內政部","臺北市","內政部","100臺北市中正區徐州路5號3樓","25.0422099","121.51947"
"交通部","臺北市","台北中聯郵局","100臺北市中正區徐州路5號地下一樓","25.0410436","121.5221584"
"行政院主計總處","臺北市","行政院主計總處(院區)","100臺北市中正區忠孝東路1段1號","25.046147","121.520933"
"行政院","臺北市","行政院院史珍貴史料展示","100臺北市中正區忠孝東路1段1號","25.046667","121.520891"
"內政部","臺北市","內政部警政署","100臺北市中正區忠孝東路一段7號","25.045246","121.522512"
"財政部","臺北市","兆豐國際商銀金控總部分行","100臺北市中正區忠孝東路二段123號","25.042616","121.532508"
"財政部","臺北市","兆豐國際商業銀行企劃處10樓","100臺北市中正區忠孝東路二段123號10樓","25.042616","121.532508"
"財政部","臺北市","兆豐國際商業銀行債務管理處13樓","100臺北市中正區忠孝東路二段123號13樓","25.042616","121.532508"
"財政部","臺北市","兆豐國際商業銀行總務處4樓","100臺北市中正區忠孝東路二段123號4樓","25.042616","121.532508"
"財政部","臺北市","第一商業銀行(忠孝路分行)","100臺北市中正區忠孝東路２段94號","25.0428524","121.5300941"
"交通部","臺北市","台北北門郵局-1","100臺北市中正區忠孝西路一段114號","25.047296","121.512154"
"交通部","臺北市","台北北門郵局-2","100臺北市中正區忠孝西路一段114號","25.047296","121.512154"
"交通部","臺北市","台北北門郵局-3","100臺北市中正區忠孝西路一段114號","25.047296","121.512154"
"交通部","臺北市","台北北門郵局-4","100臺北市中正區忠孝西路一段114號","25.047296","121.512154"
"交通部","臺北市","台北北門郵局-5","100臺北市中正區忠孝西路一段114號","25.047296","121.512154"
"交通部","臺北市","台北復興橋郵局","100臺北市中正區忠孝西路一段1號","25.046021","121.51941"
"財政部","臺北市","財政部8樓大禮堂","100臺北市中正區愛國西路2號","25.034623","121.515559"
"財政部","臺北市","華南商業銀行新生分行","100臺北市中正區新生南路一段48號","25.042312","121.532671"
"審計部","臺北市","審計部5樓會議室","100臺北市中正區杭州北路1號","25.04516","121.527273"
"行政院農業委員會","臺北市","農業金融局2樓會議室","100臺北市中正區杭州南路一段15號","25.043615","121.526724"
"行政院農業委員會","臺北市","農業金融局3樓右側","100臺北市中正區杭州南路一段15號","25.043615","121.526724"
"行政院農業委員會","臺北市","農業金融局3樓會議室","100臺北市中正區杭州南路一段15號","25.043615","121.526724"
"行政院農業委員會","臺北市","行政院農業委員會農糧署","100臺北市中正區杭州南路一段15號6樓","25.043615","121.526724"
