Unit,Region,Station,Addr,Lat,Lon
內政部,新北市,新北市金山戶政事務所-1,208新北市金山區民生路67號1樓,25.220278,121.640416
內政部,新北市,新北市泰山戶政事務所4F-1,243新北市泰山區全興路212號4樓,25.0549,121.43446
內政部,新北市,新北市瑞芳戶政事務所貢寮區所,228新北市貢寮區朝陽街56號1樓,25.021907,121.910238
內政部,新北市,新北市淡水戶政事務所-1,251新北市淡水區中正路227號1樓,25.173015,121.43564
內政部,新北市,新北市新店戶政事務所深坑區所,222新北市深坑區深坑街55號2樓,25.0018195,121.6152824
內政部,新北市,新北市新店戶政事務所,231新北市新店區行政街2號2樓,24.967241,121.542046
內政部,新北市,新北市新店戶政事務所安康辦事處-1,231新北市新店區安康路2段120號3樓,24.962729,121.512837
內政部,新北市,新北市新莊戶政事務所,242新北市新莊區中華路1段1號2樓,25.036575,121.451839
內政部,新北市,新北市新莊戶政事務所福營辦事處,242新北市新莊區四維路9號2樓,25.0245452,121.4238098
內政部,新北市,新北市瑞芳戶政事務所,224新北市瑞芳區中正路30號5樓,25.107532,121.809131
內政部,新北市,新北市金山戶政事務所萬里區所,207新北市萬里區瑪鋉路123號2樓,25.1774312,121.6892212
內政部,新北市,新北市樹林戶政事務所1F_A,238新北市樹林區保安街1段285號1樓,24.9966434,121.4189495
內政部,新北市,新北市瑞芳戶政事務所雙溪區所-1,227新北市雙溪區太平路62號1樓,25.035727,121.865178
內政部,新北市,新北市蘆洲戶政事務所-1_A,247新北市蘆洲區集賢路245號8樓,25.08494,121.481649
內政部,宜蘭縣,宜蘭市戶政事務所,260宜蘭縣宜蘭市中華路146號2樓,24.749326,121.752977
內政部,宜蘭縣,羅東鎮戶政事務所,265宜蘭縣羅東鎮公正路159之1號,24.678764,121.768781
內政部,宜蘭縣,蘇澳鎮戶政事務所,270宜蘭縣蘇澳鎮中山路一段254號,24.59588,121.844527
內政部,宜蘭縣,礁溪鄉戶政事務所,262宜蘭縣礁溪鄉礁溪路四段126號,24.821279,121.769564
內政部,宜蘭縣,員山鄉戶政事務所,264宜蘭縣員山鄉員山路一段207號2樓,24.745077,121.726831
內政部,宜蘭縣,冬山鄉戶政事務所,269宜蘭縣冬山鄉冬山路170號,24.667211,121.771517
內政部,宜蘭縣,三星鄉戶政事務所,266宜蘭縣三星鄉中山路7之6號,24.66917,121.651611
內政部,宜蘭縣,大同鄉戶政事務所,267宜蘭縣大同鄉朝陽路50號,24.677808,121.608095
內政部,宜蘭縣,南澳鄉戶政事務所,272宜蘭縣南澳鄉蘇花路二段431號,24.467209,121.805763
內政部,宜蘭縣,頭城戶政事務所,261宜蘭縣頭城鎮開蘭路281號,24.86285,121.82646
內政部,宜蘭縣,壯圍戶政事務所,263宜蘭縣壯圍鄉壯五路260號,24.746405,121.785947
內政部,宜蘭縣,五結戶政事務所,268宜蘭縣五結鄉五結路二段339號,24.684932,121.798725
內政部,桃園市,桃園市八德區戶政事務所,334桃園市八德區興豐路304巷2號,24.92915,121.286251
內政部,桃園市,桃園市觀音區戶政事務所,328桃園市觀音區觀和路28號,25.028382,121.084592
內政部,桃園市,桃園市蘆竹區戶政事務所,338桃園市蘆竹區長安路二段236號四樓,25.063967,121.281059
內政部,桃園市,桃園市龍潭區戶政事務所,325桃園市龍潭區龍星村26鄰中正路210號二樓,24.864196,121.216589
內政部,桃園市,平鎮區戶政事務所民眾洽公區,324桃園市平鎮區德育路242號,24.946083,121.218553
內政部,桃園市,桃園市大溪區戶政事務所,335桃園市大溪區康莊路181號四樓,24.879731,121.288652
內政部,桃園市,桃園市楊梅區戶政事務所洽公區,326桃園市楊梅區校前路409號三樓,24.896972,121.149502
內政部,桃園市,桃園市中壢區戶政事務所,320桃園市中壢區溪洲街298號,24.963086,121.22999
內政部,桃園市,桃園市新屋區戶政事務所,327桃園市新屋區中山路241號三樓,24.972696,121.106393
內政部,桃園市,桃園市龜山區戶政事務所,333桃園市龜山區自強南路99號,24.99199,121.338791
內政部,桃園市,桃園市復興區戶政事務所,336桃園市復興區澤仁里14鄰中正路180號,24.822263,121.350775
內政部,桃園市,桃園市大園區戶政事務所,337桃園市大園區中山北路162號,25.068438,121.195979
內政部,桃園市,桃園市中壢區戶政事所自強工作站,320桃園市中壢區強國路46號2樓,24.967748,121.259015
內政部,嘉義市,嘉義市東區戶政事務所,600嘉義市東區吳鳳北路184號4樓,23.478687,120.453576
內政部,嘉義市,嘉義市西區戶政事務所,600嘉義市西區錦州二街28號2樓,23.464506,120.435476
內政部,新竹縣,新竹縣竹東鎮戶政事務所,310新竹縣竹東鎮康寧街89號,24.737419,121.087017
內政部,新竹縣,新竹縣竹北市戶政事務所,302新竹縣竹北市中正西路50-1號,24.839711,121.00418
內政部,新竹縣,新竹縣新埔鎮戶政事務所,305新竹縣新埔鎮廣和路8號,24.827511,121.074529
內政部,新竹縣,新竹縣關西鎮戶政事務所,306新竹縣關西鎮光復路168號,24.79702,121.175154
內政部,新竹縣,新竹縣新豐鄉戶政事務所,304新竹縣新豐鄉建興路二段792巷6號,24.901375,120.987303
內政部,新竹縣,新竹縣峨眉鄉戶政事務所,315新竹縣峨眉鄉峨眉村峨眉街1號,24.688293,121.021601
內政部,新竹縣,新竹縣寶山鄉戶政事務所,308新竹縣寶山鄉雙溪村4鄰雙園路2段325號3樓,24.76583,120.991133
內政部,新竹縣,新竹縣五峰鄉戶政事務所,311新竹縣五峰鄉大隘村97號,24.631648,121.119803
內政部,新竹縣,新竹縣橫山鄉戶政事務所,312新竹縣橫山鄉新興村新興街105號,24.716769,121.141369
內政部,新竹縣,新竹縣北埔鄉戶政事務所,314新竹縣北埔鄉南興村14鄰南興街68號,24.698874,121.057086
內政部,新竹縣,新竹縣芎林鄉戶政事務所,307新竹縣芎林鄉文山路339號,24.774824,121.081344
內政部,新竹縣,新竹縣湖口鄉戶政事務所,303新竹縣湖口鄉成功路119巷8號,24.904762,121.043941
內政部,新竹縣,新竹縣尖石鄉戶政事務所,313新竹縣尖石鄉嘉樂村麥樹仁63號,24.706038,121.203135
內政部,苗栗縣,苗栗縣竹南鎮戶政事務所,350苗栗縣竹南鎮中正路110號,24.683918,120.873792
內政部,苗栗縣,苗栗縣頭份鎮戶政事務所,351苗栗縣頭份鎮信義里和平路68號,24.687069,120.90776
內政部,苗栗縣,苗栗縣通霄鎮戶政事務所,357苗栗縣通霄鎮中正路14號,24.490805,120.683017
內政部,苗栗縣,苗栗縣後龍鎮戶政事務所,356苗栗縣後龍鎮大庄里中山路142號,24.613859,120.791683
內政部,苗栗縣,苗栗縣西湖鄉戶政事務所,368苗栗縣西湖鄉金獅村2鄰金獅26之7號,24.558448,120.757802
內政部,苗栗縣,苗栗縣造橋鄉戶政事務所,361苗栗縣造橋鄉造橋村13鄰東興5之5號,24.656378,120.865402
內政部,苗栗縣,苗栗縣公館鄉戶政事務所,363苗栗縣公館鄉館中村大同路181號,24.503592,120.827084
內政部,苗栗縣,苗栗縣南庄鄉戶政事務所,353苗栗縣南庄鄉東村4鄰大同路25號,24.597692,120.999408
內政部,苗栗縣,苗栗縣頭屋鄉戶政事務所,362苗栗縣頭屋鄉頭屋村中山街17之1號,24.577744,120.850596
內政部,彰化縣,彰化縣彰化市戶政事務所,500彰化縣彰化市中興路100號,24.070321,120.546155
內政部,彰化縣,彰化縣員林市戶政事務所,510彰化縣員林市和平東街1號,23.962765,120.579274
內政部,彰化縣,彰化縣二水鄉戶政事務所,530彰化縣二水鄉員集路三段472號,23.809017,120.619626
內政部,彰化縣,彰化縣二林鎮戶政事務所,526彰化縣二林鎮斗苑路五段80號,23.900101,120.370331
內政部,彰化縣,彰化縣大村鄉戶政事務所,515彰化縣大村鄉茄苳路一段50號,23.994995,120.544665
內政部,彰化縣,彰化縣大城鄉戶政事務所,527彰化縣大城鄉東城村北平路90號,23.855404,120.323017
內政部,彰化縣,彰化縣北斗鎮戶政事務所,521彰化縣北斗鎮光復里地政路466號,23.874575,120.523421
內政部,彰化縣,彰化縣永靖鄉戶政事務所,512彰化縣永靖鄉永靖街20號,23.92031,120.547013
內政部,彰化縣,彰化縣田中鎮戶政事務所,520彰化縣田中鎮西路街100號,23.860202,120.584586
內政部,彰化縣,彰化縣田尾鄉戶政事務所,522彰化縣田尾鄉光復路三段148號,23.892555,120.526033
內政部,彰化縣,彰化縣竹塘鄉戶政事務所,525彰化縣竹塘鄉竹塘村竹林路一段253號,23.859584,120.427752
